English Term,Lemma,IPA,Russian Pronunciation,Russian Translation,POS Mode,Part of Speech (EN),Part of Speech (RU),Frequency
damage,damage,ˈdæmɪʤ,дэмидж,повреждать,wordnet,noun,существительное,1
damn,damn,dæm,дэм,проклятие,wordnet,noun,существительное,1
dangerous,dangerous,ˈdeɪnʤərəs,дэйнджэрэс,опасный,wordnet,adj,прилагательное,3
daniel,daniel,ˈdænjəl,дэнйл,Дэниел,wordnet,noun,существительное,1
daniela,daniela,dænˈjɛlə,дэнйэлэ,Даниэла,wordnet,,,2
dare,dare,dɛr,дэр,осмелиться,wordnet,noun,существительное,1
dark,dark,dɑrk,дарк,темный,wordnet,noun,существительное,1
darwin,darwin,ˈdɑrwɪn,даруин,Дарвин,wordnet,noun,существительное,1
dash,dash,dæʃ,дэш,бросаться,wordnet,noun,существительное,1
data,data,ˈdætə,дэтэ,данные,wordnet,noun,существительное,2397
database,database,ˈdætəˌbeɪs,дэтэбэйс,база данных,wordnet,noun,существительное,10
dataset,dataset,ˈdeɪtəˌsɛt,дэйтэсэт,набор данных,wordnet,,,24
date,date,deɪt,дэйт,дата,wordnet,noun,существительное,69
david,david,ˈdeɪvɪd,дэйвид,Дэйвид,wordnet,noun,существительное,1
day,day,deɪ,дэй,день,wordnet,noun,существительное,136
dead,dead,dɛd,дэд,мертвый,wordnet,noun,существительное,1
deadly,deadly,ˈdɛdli,дэдли,смертоносный,wordnet,adj,прилагательное,2
deal,deal,dil,дил,иметь дело,wordnet,noun,существительное,11
dealing,dealing,ˈdilɪŋ,дилин,сделка,wordnet,noun,существительное,13
dealt,dealt,dɛlt,дэлт,раздали,wordnet,verb,глагол,2
death,death,dɛθ,дэс,смерть,wordnet,noun,существительное,1
debate,debate,dəˈbeɪt,дэбэйт,дебаты,wordnet,noun,существительное,1
debated,debated,dəˈbeɪtɪd,дэбэйтид,обсуждаемый,wordnet,verb,глагол,1
debug,debug,diˈbəg,дибэг,отлаживать,wordnet,verb,глагол,5
debugging,debugging,diˈbəgɪŋ,дибэгин,отладка,wordnet,verb,глагол,2
decade,decade,ˈdɛkeɪd,дэкэйд,десятилетие,wordnet,noun,существительное,2
decent,decent,ˈdisənt,диснт,приличный,wordnet,adj,прилагательное,1
decide,decide,ˌdɪˈsaɪd,дисайд,решать,wordnet,verb,глагол,3
decided,decided,ˌdɪˈsaɪdɪd,дисайдид,решенный,wordnet,verb,глагол,2
decides,decides,ˌdɪˈsaɪdz,дисайдз,решает,wordnet,verb,глагол,3
deciding,deciding,ˌdɪˈsaɪdɪŋ,дисайдин,решение,wordnet,noun,существительное,1
decimal,decimal,ˈdɛsəməl,дэсмл,десятичный,wordnet,noun,существительное,9
decipher,decipher,dɪˈsaɪfər,дисайфэр,расшифровать,wordnet,verb,глагол,2
deciphering,deciphering,dəˈsaɪfərɪŋ,дэсайфэрин,расшифровка,wordnet,verb,глагол,1
decision,decision,dɪˈsɪʒən,дисижн,решение,wordnet,noun,существительное,19
decorate,decorate,ˈdɛkərˌeɪt,дэкэрэйт,украшать,wordnet,verb,глагол,1
decorated,decorated,ˈdɛkərˌeɪtɪd,дэкэрэйтид,украшенный,wordnet,verb,глагол,4
decorating,decorating,ˈdɛkərˌeɪtɪŋ,дэкэрэйтин,украшение,wordnet,verb,глагол,1
decorator,decorator,ˈdɛkərˌeɪtər,дэкэрэйтэр,декоратор,wordnet,noun,существительное,58
decoupling,decoupling,diˈkəplɪŋ,дикэплин,развязка,wordnet,verb,глагол,1
decrease,decrease,ˈdiˌkris,дикрис,снижаться,wordnet,noun,существительное,1
decreasing,decreasing,ˈdiˌkrisɪŋ,дикрисин,уменьшение,wordnet,verb,глагол,4
dedicated,dedicated,ˈdɛdəkeɪtəd,дэдэкэйтэд,преданный,wordnet,verb,глагол,6
dedicates,dedicates,ˈdɛdɪˌkeɪts,дэдикэйтс,посвящает,wordnet,verb,глагол,1
deduce,deduce,dɪˈdus,дидус,сделать вывод,wordnet,verb,глагол,3
deep,deep,dip,дип,глубокий,wordnet,noun,существительное,4
deeper,deeper,ˈdipər,дипэр,Глубже,wordnet,adj,прилагательное,14
default,default,dɪˈfɔlt,дифолт,по умолчанию,wordnet,noun,существительное,123
defaulting,defaulting,dɪˈfɔltɪŋ,дифолтин,дефолт,wordnet,verb,глагол,1
defend,defend,dɪˈfɛnd,дифэнд,защищать,wordnet,verb,глагол,1
defensively,defensively,dɪˈfɛnsɪvli,дифэнсивли,оборонительно,wordnet,adv,наречие,1
define,define,dɪˈfaɪn,дифайн,определять,wordnet,verb,глагол,18
defined,defined,dɪˈfaɪnd,дифайнд,определенный,wordnet,verb,глагол,49
defines,defines,dɪˈfaɪnz,дифайнз,определяет,wordnet,verb,глагол,3
defining,defining,dɪˈfaɪnɪŋ,дифайнин,определение,wordnet,noun,существительное,3
definitely,definitely,ˈdɛfənətli,дэфнэтли,определенно,wordnet,adv,наречие,2
definition,definition,ˌdɛfəˈnɪʃən,дэфэнишн,определение,wordnet,noun,существительное,59
degree,degree,dɪˈgri,дигри,степень,wordnet,noun,существительное,15
delegate,delegate,ˈdɛləˌgeɪt,дэлэгэйт,делегат,wordnet,noun,существительное,2
delete,delete,dɪˈlit,дилит,удалить,wordnet,verb,глагол,22
deleted,deleted,dɪˈlitəd,дилитэд,удалено,wordnet,verb,глагол,1
deleting,deleting,dɪˈlitɪŋ,дилитин,удаление,wordnet,verb,глагол,7
deletion,deletion,dɪˈliʃən,дилишн,удаление,wordnet,noun,существительное,2
delta,delta,ˈdɛltə,дэлтэ,дельта,wordnet,noun,существительное,2
deluge,deluge,ˈdɛljuʤ,дэлйудж,потоп,wordnet,noun,существительное,1
delve,delve,dɛlv,дэлв,копаться,wordnet,verb,глагол,3
delved,delved,dɛlvd,дэлвд,копался,wordnet,verb,глагол,1
delving,delving,ˈdɛlvɪŋ,дэлвин,копаться,wordnet,verb,глагол,1
demonstrate,demonstrate,ˈdɛmənˌstreɪt,дэмнстрэйт,демонстрировать,wordnet,verb,глагол,3
demonstrated,demonstrated,ˈdɛmənˌstreɪtɪd,дэмнстрэйтид,продемонстрировал,wordnet,verb,глагол,1
demonstrates,demonstrates,ˈdɛmənˌstreɪts,дэмнстрэйтс,демонстрирует,wordnet,verb,глагол,1
demonstrating,demonstrating,ˈdɛmənˌstreɪtɪŋ,дэмнстрэйтин,демонстрация,wordnet,verb,глагол,1
demonstration,demonstration,ˌdɛmənˈstreɪʃən,дэмнстрэйшн,демонстрация,wordnet,noun,существительное,1
denis,denis,ˈdɛnɪs,дэнис,Денис,wordnet,,,1
dennis,dennis,ˈdɛnɪs,дэнис,Деннис,wordnet,,,1
denominator,denominator,dɪˈnɑməˌneɪtər,динамнэйтэр,знаменатель,wordnet,noun,существительное,15
dense,dense,dɛns,дэнс,плотный,wordnet,adj,прилагательное,20
denser,denser,ˈdɛnsər,дэнсэр,плотнее,wordnet,adj,прилагательное,1
density,density,ˈdɛnsɪti,дэнсити,плотность,wordnet,noun,существительное,1
department,department,dɪˈpɑrtmənt,дипартмнт,отделение,wordnet,noun,существительное,1
depend,depend,dɪˈpɛnd,дипэнд,зависеть,wordnet,verb,глагол,7
dependence,dependence,dɪˈpɛndəns,дипэнднс,зависимость,wordnet,noun,существительное,3
dependency,dependency,dɪˈpɛndənsi,дипэнднси,зависимость,wordnet,noun,существительное,23
dependent,dependent,dɪˈpɛndənt,дипэнднт,зависимый,wordnet,noun,существительное,10
depending,depending,dɪˈpɛndɪŋ,дипэндин,в зависимости,wordnet,verb,глагол,16
depends,depends,dɪˈpɛndz,дипэндз,зависит от,wordnet,verb,глагол,7
depicted,depicted,dɪˈpɪktɪd,дипиктид,изображен,wordnet,verb,глагол,9
depiction,depiction,dɪˈpɪkʃən,дипикшн,описание,wordnet,noun,существительное,3
depicts,depicts,dɪˈpɪkts,дипиктс,изображает,wordnet,verb,глагол,1
deploy,deploy,dɪˈplɔɪ,диплой,развертывать,wordnet,verb,глагол,1
deployment,deployment,dɪˈplɔɪmənt,диплоймнт,развертывание,wordnet,noun,существительное,2
depth,depth,dɛpθ,дэпс,глубина,wordnet,noun,существительное,5
derive,derive,dəraɪv,дэрайв,вывести,wordnet,verb,глагол,2
derry,derry,ˈdɛri,дэри,Дерри,wordnet,,,1
descending,descending,dɪˈsɛndɪŋ,дисэндин,нисходящий,wordnet,verb,глагол,2
describe,describe,dɪˈskraɪb,дискрайб,описывать,wordnet,verb,глагол,24
described,described,dɪˈskraɪbd,дискрайбд,описал,wordnet,verb,глагол,2
describing,describing,dɪˈskraɪbɪŋ,дискрайбин,описание,wordnet,verb,глагол,2
description,description,dɪˈskrɪpʃən,дискрипшн,описание,wordnet,noun,существительное,29
descriptive,descriptive,dɪˈskrɪptɪv,дискриптив,описательный,wordnet,adj,прилагательное,2
design,design,dɪˈzaɪn,дизайн,дизайн,wordnet,noun,существительное,28
designation,designation,ˌdɛzɪgˈneɪʃən,дэзигнэйшн,обозначение,wordnet,noun,существительное,3
designed,designed,dɪˈzaɪnd,дизайнд,разработанный,wordnet,verb,глагол,3
designer,designer,dɪˈzaɪnər,дизайнэр,дизайнер,wordnet,noun,существительное,2
designing,designing,dɪˈzaɪnɪŋ,дизайнин,проектирование,wordnet,noun,существительное,10
desire,desire,dɪˈzaɪər,дизайэр,желание,wordnet,noun,существительное,1
desired,desired,dɪˈzaɪərd,дизайэрд,желанный,wordnet,verb,глагол,10
despite,despite,dɪˈspaɪt,диспайт,несмотря на,wordnet,noun,существительное,3
dessert,dessert,dɪˈzərt,дизэрт,десерт,wordnet,noun,существительное,51
destination,destination,ˌdɛstɪˈneɪʃən,дэстинэйшн,место назначения,wordnet,noun,существительное,1
destined,destined,ˈdɛstɪnd,дэстинд,предназначенный,wordnet,verb,глагол,1
destitute,destitute,ˈdɛstəˌtut,дэстэтут,обездоленный,wordnet,adj,прилагательное,2
destroy,destroy,dɪˈstrɔɪ,дистрой,разрушать,wordnet,verb,глагол,2
destroyed,destroyed,dɪˈstrɔɪd,дистройд,уничтожен,wordnet,verb,глагол,1
destroying,destroying,dɪˈstrɔɪɪŋ,дистройин,уничтожая,wordnet,verb,глагол,3
detail,detail,ˈditeɪl,дитэйл,деталь,wordnet,noun,существительное,29
detailed,detailed,dɪˈteɪld,дитэйлд,подробный,wordnet,verb,глагол,5
detective,detective,dɪˈtɛktɪv,дитэктив,детектив,wordnet,noun,существительное,1
determine,determine,dɪˈtərmən,дитэрмн,определять,wordnet,verb,глагол,4
determines,determines,dɪˈtərmənz,дитэрмнз,определяет,wordnet,verb,глагол,6
determining,determining,dɪˈtərmənɪŋ,дитэрмнин,определение,wordnet,verb,глагол,2
dev,dev,dɛv,дэв,разработчик,wordnet,,,4
develop,develop,dɪˈvɛləp,дивэлэп,развивать,wordnet,verb,глагол,2
developed,developed,dɪˈvɛləpt,дивэлэпт,развитый,wordnet,verb,глагол,1
developer,developer,dɪˈvɛləpər,дивэлэпэр,разработчик,wordnet,noun,существительное,15
developing,developing,dɪˈvɛləpɪŋ,дивэлэпин,развивающийся,wordnet,noun,существительное,3
development,development,dɪˈvɛləpmənt,дивэлэпмнт,разработка,wordnet,noun,существительное,19
deviation,deviation,ˌdiviˈeɪʃən,дивиэйшн,отклонение,wordnet,noun,существительное,11
devise,devise,dɪˈvaɪz,дивайз,придумать,wordnet,noun,существительное,1
devoid,devoid,dɪˈvɔɪd,дивойд,лишенный,wordnet,adj,прилагательное,1
diab,diab,daɪəb,дайэб,диаб,wordnet,,,1
diagnose,diagnose,ˌdaɪəgˈnoʊs,дайэгноус,диагностировать,wordnet,verb,глагол,3
diagnosing,diagnosing,ˌdaɪəgˈnoʊsɪŋ,дайэгноусин,диагностика,wordnet,noun,существительное,16
diagnosis,diagnosis,ˌdaɪəgˈnoʊsəs,дайэгноусэс,диагноз,wordnet,noun,существительное,1
diagnostic,diagnostic,ˌdaɪəgˈnɑstɪk,дайэгнастик,диагностический,wordnet,adj,прилагательное,2
diagonal,diagonal,daɪˈægənəl,дайэгнл,диагональ,wordnet,noun,существительное,1
diagram,diagram,ˈdaɪəˌgræm,дайэгрэм,диаграмма,wordnet,noun,существительное,3
dial,dial,daɪəl,дайл,набирать номер,wordnet,noun,существительное,1
dialect,dialect,ˈdaɪəˌlɛkt,дайлэкт,диалект,wordnet,noun,существительное,2
dialogue,dialogue,ˈdaɪəˌlɔg,дайлог,диалог,wordnet,noun,существительное,1
dice,dice,daɪs,дайс,кости,wordnet,noun,существительное,2
dicey,dicey,ˈdaɪsi,дайси,рискованный,wordnet,adj,прилагательное,1
dictate,dictate,ˈdɪkˌteɪt,диктэйт,диктовать,wordnet,noun,существительное,1
dictionary,dictionary,ˈdɪkʃəˌnɛri,дикшнэри,словарь,wordnet,noun,существительное,53
differ,differ,ˈdɪfər,дифэр,отличаться,wordnet,verb,глагол,3
difference,difference,ˈdɪfərəns,дифэрнс,разница,wordnet,noun,существительное,39
different,different,ˈdɪfərənt,дифэрнт,другой,wordnet,adj,прилагательное,115
differentiate,differentiate,ˌdɪfərˈɛnʧiˌeɪt,дифэрэнчиэйт,дифференцировать,wordnet,verb,глагол,4
differently,differently,ˈdɪfərˈɛntli,дифэрэнтли,по-другому,wordnet,adv,наречие,6
differs,differs,ˈdɪfərz,дифэрз,отличается,wordnet,verb,глагол,3
difficult,difficult,ˈdɪfəkəlt,дифэклт,трудный,wordnet,adj,прилагательное,4
dig,dig,dɪg,диг,копать,wordnet,noun,существительное,4
digging,digging,ˈdɪgɪŋ,дигин,копать,wordnet,noun,существительное,2
digit,digit,ˈdɪʤɪt,диджит,цифра,wordnet,noun,существительное,1
dimension,dimension,dɪˈmɛnʃən,димэншн,измерение,wordnet,noun,существительное,16
dimensional,dimensional,dɪˈmɛnʃənəl,димэншнл,размерный,wordnet,adj,прилагательное,10
dinner,dinner,ˈdɪnər,динэр,ужин,wordnet,noun,существительное,1
direct,direct,dɪˈrɛkt,дирэкт,прямой,wordnet,verb,глагол,12
direction,direction,dɪˈrɛkʃɪn,дирэкшин,направление,wordnet,noun,существительное,8
directional,directional,dɪˈrɛkʃɪnəl,дирэкшинл,направленный,wordnet,adj,прилагательное,1
directly,directly,dɪˈrɛkli,дирэкли,напрямую,wordnet,adv,наречие,56
director,director,dɪˈrɛktər,дирэктэр,директор,wordnet,noun,существительное,2
directory,directory,dɪˈrɛktəri,дирэктэри,каталог,wordnet,noun,существительное,72
dirty,dirty,ˈdərti,дэрти,грязный,wordnet,verb,глагол,1
disadvantage,disadvantage,ˌdɪsədˈvænɪʤ,дисэдвэнидж,недостаток,wordnet,noun,существительное,1
disappointment,disappointment,ˌdɪsəˈpɔɪntmənt,дисэпойнтмнт,разочарование,wordnet,noun,существительное,1
disaster,disaster,dɪˈzæstər,дизэстэр,катастрофа,wordnet,noun,существительное,2
discipline,discipline,ˈdɪsəplən,дисэплн,дисциплина,wordnet,noun,существительное,1
disclaim,disclaim,dɪˈskleɪm,дисклэйм,отказываться от ответственности,wordnet,verb,глагол,1
disclaimer,disclaimer,dɪˈskleɪmər,дисклэймэр,отказ от ответственности,wordnet,noun,существительное,1
discount,discount,ˈdɪskaʊnt,дискаунт,скидка,wordnet,noun,существительное,1
discover,discover,dɪˈskəvər,дискэвэр,обнаружить,wordnet,verb,глагол,1
discovered,discovered,dɪˈskəvərd,дискэвэрд,обнаруженный,wordnet,verb,глагол,2
discovering,discovering,dɪˈskəvərɪŋ,дискэвэрин,обнаружение,wordnet,verb,глагол,1
discovery,discovery,ˌdɪˈskəvri,дискэври,открытие,wordnet,noun,существительное,5
discrete,discrete,dɪˈskrit,дискрит,дискретный,wordnet,adj,прилагательное,8
discriminate,discriminate,dɪˈskrɪməˌneɪt,дискримнэйт,различать,wordnet,verb,глагол,1
discriminating,discriminating,dɪˈskrɪməˌneɪtɪŋ,дискримнэйтин,различающий,wordnet,verb,глагол,2
discus,discus,ˈdɪskəs,дискэс,дискуссия,wordnet,noun,существительное,10
discussed,discussed,dɪˈskəst,дискэст,обсуждено,wordnet,verb,глагол,2
discusses,discusses,dɪˈskəsɪz,дискэсиз,обсуждает,wordnet,verb,глагол,1
discussing,discussing,dɪˈskəsɪŋ,дискэсин,обсуждение,wordnet,verb,глагол,1
discussion,discussion,dɪˈskəʃən,дискэшн,обсуждение,wordnet,noun,существительное,6
disguise,disguise,dɪsˈgaɪz,дисгайз,маскировка,wordnet,noun,существительное,1
dish,dish,dɪʃ,диш,блюдо,wordnet,noun,существительное,11
disk,disk,dɪsk,диск,диск,wordnet,noun,существительное,27
dispatch,dispatch,dɪˈspæʧ,диспэч,отправлять,wordnet,noun,существительное,2
display,display,dɪˈspleɪ,дисплэй,отображать,wordnet,noun,существительное,49
displayed,displayed,dɪˈspleɪd,дисплэйд,отображается,wordnet,verb,глагол,24
displaying,displaying,dɪˈspleɪɪŋ,дисплэйин,отображение,wordnet,verb,глагол,10
disposal,disposal,dɪˈspoʊzəl,диспоузл,утилизация,wordnet,noun,существительное,1
disruption,disruption,dɪsˈrəpʃən,дисрэпшн,нарушение,wordnet,noun,существительное,1
dissect,dissect,daɪˈsɛkt,дайсэкт,рассечь,wordnet,verb,глагол,1
dissecting,dissecting,daɪˈsɛktɪŋ,дайсэктин,рассекающий,wordnet,verb,глагол,1
distance,distance,ˈdɪstəns,дистнс,расстояние,wordnet,noun,существительное,1
distills,distills,dɪˈstɪlz,дистилз,перегоняет,wordnet,verb,глагол,1
distinct,distinct,dɪˈstɪŋkt,дистинкт,отчетливый,wordnet,adj,прилагательное,51
distinction,distinction,dɪˈstɪŋkʃən,дистинкшн,различие,wordnet,noun,существительное,5
distinguish,distinguish,dɪˈstɪŋgwɪʃ,дистингуиш,различать,wordnet,verb,глагол,2
distribute,distribute,dɪˈstrɪbjut,дистрибйут,распространять,wordnet,verb,глагол,5
distributed,distributed,dɪˈstrɪbjətəd,дистрибйэтэд,распределенный,wordnet,verb,глагол,49
distributes,distributes,dɪˈstrɪbjuts,дистрибйутс,распределяет,wordnet,verb,глагол,6
distributing,distributing,dɪˈstrɪbjutɪŋ,дистрибйутин,распространение,wordnet,verb,глагол,4
distribution,distribution,ˌdɪstrəˈbjuʃən,дистрэбйушн,распределение,wordnet,noun,существительное,14
dive,dive,daɪv,дайв,нырять,wordnet,noun,существительное,4
diversified,diversified,dɪˈvərsəˌfaɪd,дивэрсэфайд,диверсифицированный,wordnet,verb,глагол,1
diversifying,diversifying,dɪˈvərsəˌfaɪɪŋ,дивэрсэфайин,диверсификация,wordnet,verb,глагол,1
diversity,diversity,dɪˈvərsɪti,дивэрсити,разнообразие,wordnet,noun,существительное,1
divide,divide,dɪˈvaɪd,дивайд,разделять,wordnet,noun,существительное,4
divided,divided,dɪˈvaɪdɪd,дивайдид,разделенный,wordnet,verb,глагол,1
dividend,dividend,ˈdɪvɪˌdɛnd,дивидэнд,дивиденды,wordnet,noun,существительное,2
dividing,dividing,dɪˈvaɪdɪŋ,дивайдин,разделяющий,wordnet,verb,глагол,2
diving,diving,ˈdaɪvɪŋ,дайвин,дайвинг,wordnet,noun,существительное,1
division,division,dɪˈvɪʒən,дивижн,разделение,wordnet,noun,существительное,6
doable,doable,ˈduəbəl,дуэбл,осуществимый,wordnet,adj,прилагательное,1
doc,doc,dɑk,дак,док,wordnet,noun,существительное,21
doctor,doctor,ˈdɔktər,доктэр,врач,wordnet,noun,существительное,1
document,document,ˈdɑkjəmɛnt,дакймэнт,документ,wordnet,noun,существительное,62
documentation,documentation,ˌdɑkjəmɛnˈteɪʃən,дакймэнтэйшн,документация,wordnet,noun,существительное,56
documented,documented,ˈdɑkjəˌmɛnəd,дакймэнэд,задокументировано,wordnet,verb,глагол,4
documenting,documenting,ˈdɑkjəmənɪŋ,дакймнин,документирование,wordnet,verb,глагол,3
doe,doe,doʊ,доу,лань,wordnet,noun,существительное,66
doll,doll,dɑl,дал,кукла,wordnet,noun,существительное,1
dollar,dollar,ˈdɔlər,долэр,доллар,wordnet,noun,существительное,4
domain,domain,doʊˈmeɪn,доумэйн,домен,wordnet,noun,существительное,4
dominant,dominant,ˈdɑmənənt,дамннт,доминирующий,wordnet,noun,существительное,3
done,done,dən,дн,сделанный,wordnet,verb,глагол,60
dot,dot,dɑt,дат,точка,wordnet,noun,существительное,15
dotted,dotted,ˈdɑtɪd,датид,пунктирный,wordnet,verb,глагол,2
double,double,ˈdəbəl,дэбл,двойной,wordnet,noun,существительное,36
doubt,doubt,daʊt,даут,сомневаться,wordnet,noun,существительное,2
dough,dough,doʊ,доу,тесто,wordnet,noun,существительное,2
dovetail,dovetail,ˈdəvˌteɪl,дэвтэйл,«ласточкин хвост»,wordnet,noun,существительное,1
download,download,ˈdaʊnˌloʊd,даунлоуд,скачать,wordnet,verb,глагол,37
downloaded,downloaded,ˈdaʊnˌloʊdɪd,даунлоудид,скачал,wordnet,verb,глагол,7
downloading,downloading,ˈdaʊnˌloʊdɪŋ,даунлоудин,загрузка,wordnet,verb,глагол,5
downstream,downstream,ˈdaʊnˈstrim,даунстрим,ниже по течению,wordnet,adj,прилагательное,1
dozen,dozen,ˈdəzən,дэзн,дюжина,wordnet,noun,существительное,3
draft,draft,dræft,дрэфт,черновик,wordnet,noun,существительное,1
drafting,drafting,ˈdræftɪŋ,дрэфтин,составление,wordnet,noun,существительное,1
drag,drag,dræg,дрэг,тащить,wordnet,noun,существительное,1
drama,drama,ˈdrɑmə,драмэ,драма,wordnet,noun,существительное,4
draw,draw,drɔ,дро,рисовать,wordnet,noun,существительное,6
drawing,drawing,drɔɪŋ,дройн,рисунок,wordnet,noun,существительное,4
drawn,drawn,drɔn,дрон,нарисованный,wordnet,verb,глагол,2
dream,dream,drim,дрим,мечтать,wordnet,noun,существительное,1
dress,dress,drɛs,дрэс,одеваться,wordnet,noun,существительное,1
drew,drew,dru,дру,нарисовал,wordnet,noun,существительное,2
drill,drill,drɪl,дрил,сверлить,wordnet,noun,существительное,2
drilling,drilling,ˈdrɪlɪŋ,дрилин,бурение,wordnet,noun,существительное,1
drive,drive,draɪv,драйв,водить машину,wordnet,noun,существительное,99
driven,driven,ˈdrɪvən,дривн,управляемый,wordnet,verb,глагол,6
driver,driver,ˈdraɪvər,драйвэр,водитель,wordnet,noun,существительное,48
drop,drop,drɔp,дроп,уронить,wordnet,noun,существительное,81
dropped,dropped,drɑpt,драпт,упавший,wordnet,verb,глагол,3
dropping,dropping,ˈdrɑpɪŋ,драпин,падение,wordnet,verb,глагол,21
drove,drove,droʊv,дроув,ехал,wordnet,noun,существительное,1
dry,dry,draɪ,драй,сухой,wordnet,noun,существительное,1
duality,duality,duˈæləti,дуэлэти,двойственность,wordnet,noun,существительное,1
dubbed,dubbed,dəbd,дэбд,дублированный,wordnet,verb,глагол,1
due,due,du,ду,должный,wordnet,noun,существительное,2
dummy,dummy,ˈdəmi,дми,дурачок,wordnet,noun,существительное,12
dump,dump,dəmp,дмп,свалка,wordnet,noun,существительное,6
dunn,dunn,dən,дн,Данн,wordnet,,,1
dupe,dupe,dup,дуп,обмануть,wordnet,noun,существительное,2
duplicate,duplicate,ˈdupləˌkeɪt,дуплэкэйт,дубликат,wordnet,noun,существительное,17
duplicated,duplicated,ˈduplɪˌkeɪtɪd,дупликэйтид,дублированный,wordnet,verb,глагол,6
duplicating,duplicating,ˈduplɪˌkeɪtɪŋ,дупликэйтин,дублирование,wordnet,verb,глагол,3
duplication,duplication,ˌdjupləˈkeɪʃən,дйуплэкэйшн,дублирование,wordnet,noun,существительное,8
duration,duration,ˈdʊˈreɪʃən,дурэйшн,продолжительность,wordnet,noun,существительное,122
duty,duty,ˈduti,дути,долг,wordnet,noun,существительное,1
dynamic,dynamic,daɪˈnæmɪk,дайнэмик,динамичный,wordnet,noun,существительное,5
dynamism,dynamism,ˈdaɪnəˌmɪzəm,дайнмизм,динамизм,wordnet,noun,существительное,1
eager,eager,ˈigər,игэр,жаждущий,wordnet,noun,существительное,7
eagerly,eagerly,ˈigərli,игэрли,нетерпеливо,wordnet,adv,наречие,2
earlier,earlier,ˈərliər,эрлиэр,ранее,wordnet,adj,прилагательное,5
early,early,ˈərli,эрли,рано,wordnet,adj,прилагательное,8
earth,earth,ərθ,эрс,земля,wordnet,noun,существительное,1
ease,ease,iz,из,простота,wordnet,noun,существительное,7
easier,easier,ˈiziər,изиэр,Полегче,wordnet,adj,прилагательное,42
easiest,easiest,ˈiziəst,изиэст,самый простой,wordnet,adj,прилагательное,22
easily,easily,ˈizəli,изли,легко,wordnet,adv,наречие,23
east,east,ist,ист,восток,wordnet,noun,существительное,1
easy,easy,ˈizi,изи,легкий,wordnet,adj,прилагательное,65
eats,eats,its,итс,ест,wordnet,noun,существительное,1
echo,echo,ˈɛkoʊ,экоу,эхо,wordnet,noun,существительное,7
echoing,echoing,ˈɛkoʊɪŋ,экоуин,эхом,wordnet,verb,глагол,1
ecosystem,ecosystem,ˈikoʊˌsɪstəm,икоусистм,экосистема,wordnet,noun,существительное,13
eda,eda,ˈidə,идэ,Эда,wordnet,,,6
edge,edge,ɛʤ,эдж,край,wordnet,noun,существительное,2
edit,edit,ˈɛdət,эдэт,редактировать,wordnet,verb,глагол,1
edited,edited,ˈɛdɪtɪd,эдитид,отредактировано,wordnet,verb,глагол,1
editing,editing,ˈɛdɪtɪŋ,эдитин,редактирование,wordnet,noun,существительное,1
edition,edition,ɪˈdɪʃən,идишн,версия,wordnet,noun,существительное,3
editor,editor,ˈɛdɪtər,эдитэр,редактор,wordnet,noun,существительное,12
eerily,eerily,ˈɪrəli,ирли,устрашающе,wordnet,adv,наречие,1
effect,effect,ˈifɛkt,ифэкт,эффект,wordnet,noun,существительное,2
effectively,effectively,ˈifɛktɪvli,ифэктивли,эффективно,wordnet,adv,наречие,10
efficiency,efficiency,ɪˈfɪʃənsi,ифишнси,эффективность,wordnet,noun,существительное,2
efficient,efficient,ɪˈfɪʃənt,ифишнт,эффективный,wordnet,adj,прилагательное,13
efficiently,efficiently,ɪˈfɪʃəntli,ифишнтли,эффективно,wordnet,adv,наречие,9
effort,effort,ˈɛfərt,эфэрт,усилие,wordnet,noun,существительное,5
eight,eight,eɪt,эйт,восемь,wordnet,noun,существительное,2
eighth,eighth,eɪθ,эйс,восьмой,wordnet,noun,существительное,1
either,either,ˈiðər,изэр,или,wordnet,adv,наречие,44
ekaterina,ekaterina,eɪkɑtɛˈrinə,эйкатэринэ,Екатерина,wordnet,,,1
elastic,elastic,ɪˈlæstɪk,илэстик,эластичный,wordnet,noun,существительное,4
electricity,electricity,ɪˌlɛkˈtrɪsəti,илэктрисэти,электричество,wordnet,noun,существительное,2
electronic,electronic,ˌɪˌlɛkˈtrɑnɪk,илэктраник,электронный,wordnet,adj,прилагательное,1
elegant,elegant,ˈɛləgənt,элэгнт,элегантный,wordnet,adj,прилагательное,1
elegantly,elegantly,ˈɛlɪgənˌtli,элигнтли,элегантно,wordnet,adv,наречие,1
element,element,ˈɛləmənt,элмнт,элемент,wordnet,noun,существительное,167
elemental,elemental,ˌɛləˈmɛnəl,элэмэнл,элементарный,wordnet,adj,прилагательное,1
elevate,elevate,ˈɛləˌveɪt,элэвэйт,возвышать,wordnet,verb,глагол,1
elevates,elevates,ˈɛləˌveɪts,элэвэйтс,возвышает,wordnet,verb,глагол,2
eleven,eleven,ˈilɛvən,илэвн,одиннадцать,wordnet,noun,существительное,1
eliminate,eliminate,ɪˈlɪməˌneɪt,илимнэйт,устранять,wordnet,verb,глагол,1
eliminates,eliminates,ɪˈlɪməˌneɪts,илимнэйтс,устраняет,wordnet,verb,глагол,1
eliminating,eliminating,ɪˈlɪməˌneɪtɪŋ,илимнэйтин,устранение,wordnet,verb,глагол,2
else,else,ɛls,элс,еще,wordnet,,,9
email,email,iˈmeɪl,имэйл,электронная почта,wordnet,noun,существительное,1
